1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.012,0.000,0.000,0.000,81.405,105.934,115.823,117.591,27.931,44.788,53.761,19.564,31.794,13.558,-0.045,0.526,-0.842,42.585,0.000,0.995
1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.050,0.000,0.000,0.000,99.121,111.200,105.222,108.600,17.286,21.236,37.182,22.200,36.423,16.807,-0.051,0.083,-0.995,44.497,0.000,0.988
1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.019,0.000,0.000,0.000,88.028,110.986,117.544,116.456,27.211,41.228,49.858,17.406,31.065,15.183,-0.035,0.480,-0.876,42.435,0.000,0.737
1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.025,0.000,0.000,0.000,92.474,113.019,121.971,120.750,28.638,44.299,50.024,18.667,29.380,13.242,0.042,0.491,-0.870,42.028,0.000,0.679
1.000,0.000,1.000,0.000,0.000,0.000,0.000,1.065,0.000,0.000,0.000,82.123,106.403,112.135,114.301,27.765,39.472,49.774,16.642,31.581,15.464,0.031,0.506,-0.862,42.341,0.000,0.750
2.000,0.000,1.000,1.000,0.000,0.000,0.000,1.055,1.085,0.000,0.000,53.469,91.966,110.795,115.173,97.722,106.933,105.414,29.219,41.182,18.413,0.041,0.397,-0.916,47.273,0.000,0.872
2.000,0.000,1.000,1.000,0.000,0.000,0.000,1.144,1.216,0.000,0.000,55.855,96.679,112.938,113.608,94.821,112.019,108.237,17.803,25.992,25.077,0.158,0.440,-0.884,58.036,0.000,0.994
2.000,0.000,1.000,1.000,1.000,0.000,0.000,1.031,1.216,1.048,0.000,45.634,88.513,98.183,112.973,90.144,99.171,104.414,16.914,42.559,52.742,-0.045,0.238,-0.970,46.818,0.000,0.949
2.000,0.000,1.000,1.000,1.000,0.000,0.000,1.033,1.123,1.048,0.000,58.137,86.716,107.398,114.363,97.061,109.518,109.513,25.076,42.408,20.921,0.087,0.153,-0.984,48.984,0.000,0.985
2.000,0.000,1.000,1.000,1.000,0.000,0.000,1.071,1.047,1.048,0.000,60.696,94.166,111.151,117.520,93.939,99.881,99.622,22.256,36.922,17.921,0.120,0.099,-0.986,55.528,0.000,0.967
3.000,0.000,1.000,1.000,1.000,0.000,0.000,1.017,1.080,1.040,0.000,36.313,71.077,88.114,101.609,40.710,100.264,101.263,97.639,84.364,35.450,-0.040,0.098,-0.994,86.163,0.000,0.647
3.000,0.000,1.000,1.000,1.000,0.000,0.000,1.022,1.029,0.989,0.000,36.701,75.414,93.578,117.542,43.489,99.811,112.981,95.320,94.310,37.006,0.015,0.047,-0.999,82.943,0.000,0.749
3.000,0.000,1.000,1.000,1.000,0.000,0.000,1.029,1.084,1.039,0.000,38.082,70.529,93.536,111.658,39.134,104.281,110.762,97.951,92.015,34.710,-0.020,0.047,-0.999,78.654,0.000,0.777
3.000,0.000,1.000,1.000,1.000,0.000,0.000,1.141,1.206,1.172,0.000,36.895,72.556,91.660,102.305,41.098,102.890,100.682,100.360,84.058,36.338,0.005,0.091,-0.996,84.991,0.000,0.685
3.000,0.000,1.000,1.000,1.000,0.000,0.000,1.032,1.087,1.037,0.000,34.999,75.876,89.765,115.753,47.494,101.935,114.559,99.587,92.581,45.412,-0.009,0.079,-0.997,88.159,0.000,0.631
4.000,0.000,1.000,1.000,1.000,1.000,0.000,0.988,1.030,0.995,0.890,38.518,70.668,105.111,87.805,35.401,76.585,98.650,44.088,101.578,101.248,-0.124,0.177,-0.976,92.955,0.000,0.000
4.000,0.000,1.000,1.000,1.000,1.000,0.000,1.224,1.319,1.273,1.183,39.512,68.850,102.963,92.554,33.434,73.497,102.788,41.504,102.868,103.248,-0.111,-0.024,-0.993,94.349,0.000,0.000
4.000,0.000,1.000,1.000,1.000,1.000,0.000,0.900,0.955,0.902,0.939,45.012,77.468,107.703,75.242,37.703,72.114,89.292,36.037,96.071,102.921,-0.128,0.007,-0.992,107.031,0.000,0.000
4.000,0.000,1.000,1.000,1.000,1.000,0.000,1.048,0.942,1.033,0.938,51.998,74.935,108.442,105.257,24.034,58.780,101.774,41.873,115.246,111.499,-0.109,-0.008,-0.994,95.433,0.000,0.000
4.000,0.000,1.000,1.000,1.000,1.000,0.000,1.010,1.081,1.088,0.992,33.359,61.936,86.212,78.136,30.534,59.660,91.868,32.066,100.775,103.487,-0.095,-0.050,-0.994,97.608,0.000,0.000
5.000,1.000,1.000,1.000,1.000,1.000,0.985,1.165,1.236,1.173,1.027,120.269,152.434,164.714,173.089,39.960,65.138,97.868,29.180,68.801,41.232,-0.075,0.082,-0.994,110.711,0.000,0.000
5.000,1.000,1.000,1.000,1.000,1.000,0.855,1.204,1.294,1.241,1.078,122.440,152.760,162.859,165.751,40.055,64.134,93.877,28.147,65.628,39.505,-0.060,0.100,-0.992,120.023,0.000,0.000
5.000,1.000,1.000,1.000,1.000,1.000,0.897,1.217,1.299,1.219,1.032,111.029,141.562,152.226,156.859,37.931,62.951,93.787,29.741,68.509,40.729,-0.087,0.019,-0.996,110.136,0.000,0.000
5.000,1.000,1.000,1.000,1.000,1.000,0.996,1.341,1.398,1.324,1.148,103.708,134.721,149.208,155.188,39.181,67.891,95.683,32.455,66.929,36.808,-0.082,0.003,-0.996,112.946,0.000,0.000
5.000,1.000,1.000,1.000,1.000,1.000,0.791,1.157,1.214,1.140,0.982,103.606,131.933,144.178,148.548,39.661,70.493,101.316,34.995,72.804,40.214,-0.011,0.038,-0.999,101.399,0.000,0.000
