label, thumb, index, middle, ring, Pinky, tip_thumb, tip_index, tip_middle, tip_ring, tip_pinky, tip_thumb_index, tip_thumb_middle, tip_thumb_ring, tip_thumb_pinky, tip_index_middle, tip_index_ring, tip_index_pinky, tip_middle_ring, tip_middle_pinky, tip_ring_pinky, dip_thumb, dip_index, dip_middle, dip_ring, dip_pinky, dip_thumb_index, dip_thumb_middle, dip_thumb_ring, dip_thumb_pinky, dip_index_middle, dip_index_ring, dip_index_pinky, dip_middle_ring, dip_middle_pinky, dip_ring_pinky, pip_thumb, pip_index, pip_middle, pip_ring, pip_pinky, pip_thumb_index, pip_thumb_middle, pip_thumb_ring, pip_thumb_pinky, pip_index_middle, pip_index_ring, pip_index_pinky, pip_middle_ring, pip_middle_pinky, pip_ring_pinky, mcp_thumb, mcp_index, mcp_middle, mcp_ring, mcp_pinky, mcp_thumb_index, mcp_thumb_middle, mcp_thumb_ring, mcp_thumb_pinky, mcp_index_middle, mcp_index_ring, mcp_index_pinky, mcp_middle_ring, mcp_middle_pinky, mcp_ring_pinky, angle_thumb_index, angle_thumb_middle, angle_thumb_ring, angle_thumb_pinky, angle_index_middle, angle_index_ring, angle_index_pinky, angle_middle_ring, angle_middle_pinky, angle_ring_pinky, angle_thumb, angle_index, angle_middle, angle_ring, angle_pinky, palm_dir_x, palm_dir_y, palm_dir_z, palm_sphere_radius, palm_grab, palm_pinch, palm_norm_x, palm_norm_y, palm_norm_z, rotation_x, rotation_y, rotation_z, translation_x, translation_y, translation_z, tip_diff_thumb_x, tip_diff_thumb_y, tip_thumb_z, tip_diff_index_x, tip_diff_index_y, tip_diff_index_z, tip_diff_middle_x, tip_diff_middle_y, tip_diff_middle_z, tip_diff_ring_x, tip_diff_ring_y, tip_diff_ring_z, tip_diff_pinky_x, tip_diff_pinky_y, tip_diff_pinky_z
24.0,0.0,0.125,0.0,0.0,0.0,0.59539991453105667,0.72187660695546507,0.68907069446753344,0.61639331685971233,0.50791605425339748,0.36694998328198225,0.11456964100786596,0.04994848411982427,0.14553873539235901,0.30464751187852768,0.35324767816093072,0.41984850903913373,0.12055622531423323,0.24726015589248251,0.13271888198195619,2.0208704424916113,1.5244536163602289,1.0727470716015295,0.78225284500710357,0.9784327205259169,0.88444156235693527,0.9074265644349695,0.92206075665135501,0.96183413905282933,0.23587444860847931,0.47310522359164114,0.69150092230783378,0.24287845273269343,0.46794588902003309,0.22822412168845746,0.6783220969959054,1.0204353538207809,0.91591681937807468,0.78237306118078542,0.71224925804428185,0.75454835026290656,0.613058575010338,0.63752641971984758,0.68312621394436612,0.3339836216710792,0.46858062968552627,0.6758661026977425,0.21865645398222477,0.45406393955716989,0.24010271157001664,0.58993986533984022,0.86269228881821813,0.78674749397592425,0.69293804291398486,0.58499385510369284,0.54290650125012152,0.27713545065453304,0.28316976327789567,0.35507805923320512,0.35454184336711053,0.42997034279429125,0.55436358554607768,0.16478434959496624,0.35088304378126256,0.1906480463621284,32.128794494861083,71.997659248697218,71.516994077367684,73.167564785588269,42.882361291118691,41.051641782218077,41.395140960201303,6.0242154820895806,17.843933239681782,12.011693511067778,54.364832215221725,26.495343046450358,17.647220803377653,18.204238951891469,25.431148347343601,0.212253263220191,0.49345973506569862,-0.84231379628181458,40.427868843078613,0.89716141670942307,1.0,-0.31656168028712273,-0.78072572499513626,-0.53720464557409286,0.0,0.0,0.0,2.4089369773864746,-3.1757030487060547,-6.8762640953063965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.5,0.0,0.0,0.0,0.53886804408119038,0.66954363204786604,0.60728704223958796,0.56651453004010088,0.48209059495720719,0.41091484256674227,0.086052792752144835,0.11068269808909904,0.18289101963408649,0.4551969165326879,0.51010322102092975,0.53592846993498655,0.1066576738067242,0.21281718738398692,0.11505548489288095,2.0622030331312198,0.84688787673326404,0.676426656101491,0.9699301707923268,1.482950447828659,0.8844415510127146,0.9074265077138659,0.92206074530713422,0.96183410502016708,0.23587445428058967,0.47310521224742036,0.6915009393241649,0.2428784272081968,0.46794588902003315,0.22822412736056785,0.60319534499322369,0.84364957817969355,0.69520882793169081,0.66265492972228612,0.69022252038817888,0.74247052333208363,0.5414411054953755,0.58464825565204548,0.64328001463875195,0.45963199975269764,0.59189491758389801,0.72418013977626672,0.1986127844038176,0.37176593257343266,0.17527738296810863,0.53566112563346657,0.76236838462510403,0.64608352601071917,0.60147684840048432,0.54006291505500048,0.54764800367341682,0.19418064115498646,0.25833113703534349,0.35574183442392021,0.50529917567470906,0.58794133448033303,0.64798631791063732,0.14561963758611102,0.28752075587284082,0.14924423479252208,32.20361900377516,79.971014618774063,81.295103138441704,81.379160569009741,59.291656411208422,58.4167296690973,55.824000532331041,6.6968985619684807,18.15885981537614,11.591377009758416,52.605884334119608,35.567689300917188,27.687991192286844,30.106744311835484,34.822112681307765,0.3445611335337162,0.60793066769838333,-0.71425793319940567,46.590736389160156,0.69451098347781226,1.0,-0.066121509953518398,-0.74300657957792282,-0.6651928499341011,0.0,0.0,0.0,6.174041748046875,-10.512883186340332,6.0793075561523438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.375,0.0,0.0,0.0,0.51368950781239398,0.62100917246545428,0.5955301512022001,0.55649857643724843,0.48763710980856007,0.37853589411792682,0.090007869479111227,0.12449472733374066,0.20798991435230907,0.34961084203487153,0.41363332509968936,0.46718120268788843,0.11301318582088862,0.2253159135147097,0.11852096436999764,1.9588336304788978,0.86434363846404683,0.58483568411894804,0.76972845728694184,1.2443345436994588,0.81699559839697988,0.83822781627426468,0.85174604346479188,0.88848642366771091,0.21788707774371435,0.43702702256905485,0.63876828784807527,0.22435696759541496,0.43226116796557235,0.21082015857133246,0.61316534850994442,0.79919924996652958,0.70727289430263307,0.66548991160044768,0.69290290391596221,0.70136839936855322,0.59845683167865138,0.64327309032595958,0.6963777250575951,0.39497884870804467,0.53676140654771587,0.69605007078876802,0.20170201082815789,0.39344933909830265,0.19488573135701007,0.52910626328049715,0.71916997663329241,0.65128007536055255,0.60695577281722657,0.55707554637096524,0.52091004151087061,0.28680598247508071,0.34386756532408358,0.42999852726132914,0.41198450354559868,0.5061582622943781,0.60198607370845569,0.15345561400747448,0.31042400070495441,0.1622106866281629,28.136368565305855,66.666738436410924,65.27271304851061,62.152412843176563,47.24405691583901,44.219133472075029,38.353726451573152,5.2688872733360839,16.25263395258321,11.031991667088661,52.593160972356344,37.023600258122656,15.318619243962306,16.515363582310098,22.410693768287512,0.34855111315846443,0.62675560265779495,-0.69538982957601547,43.58076286315918,0.75802997499704361,0.96853732317686081,-0.073757998179644346,-0.72188957780599594,-0.68724530935287476,0.0,0.0,0.0,0.12727735936641693,-9.8316164016723633,-3.1338579654693604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.25,0.0,0.0,0.0,0.58789344675934774,0.69838040182520189,0.73603460090664941,0.69523518353893254,0.59845759007469612,0.38420307465941589,0.12531571788478496,0.10805657411177341,0.15907883752513163,0.36444131611806174,0.41608121960001959,0.45744727637042859,0.11963396063913782,0.23742273982833584,0.12753337264534362,1.9037794499165064,1.090991707154026,0.88376693440401033,1.0256995684752044,1.4648109194357708,0.88949464128507694,0.91261097540650082,0.9273287858738859,0.96732942704924152,0.23722207396586198,0.47580821673705448,0.69545167763554505,0.24426610333686624,0.47061942689632147,0.22952802925520244,0.62645430085721499,0.93859667440336758,0.82156329010910756,0.78030463799652772,0.78389605625432979,0.73825717114655265,0.5700580616177412,0.62387037603606599,0.6795432375047995,0.41957569713858328,0.56388243027294238,0.71801224452998069,0.20836079948154118,0.39334346030022399,0.18871537661939317,0.58138592902782116,0.81977038691183379,0.77157438852705484,0.72704603346820273,0.64808207171297127,0.52394981102624771,0.25731219380657533,0.30812889908219415,0.3830164426941019,0.42096218605639379,0.50984232580934719,0.59909337752385516,0.159799487242507,0.31730375254046694,0.16565001198259152,37.40574870185462,64.933561712820918,63.17507230816684,62.778874805642374,33.802477069129111,30.629677895400238,28.840096188983786,5.4112189707681875,15.45781134889288,10.176169604416296,52.682627912747044,25.18810481690857,13.060646216154835,14.022754560049059,21.346277088032725,0.31983282789587975,0.59794051200151443,-0.73413888365030289,47.043171405792236,0.7177082747220993,0.9725162535905838,-0.15539174899458885,-0.73131396621465683,-0.66226742416620255,0.0,0.0,0.0,6.6577801704406738,-8.9759550094604492,-7.7878336906433105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.25,0.0,0.0,0.0,0.54716420944223632,0.63124284367847738,0.64007308692947962,0.59549644763771037,0.50846827768100789,0.37986110032703257,0.084690811150214165,0.11721215619481416,0.19812830538747223,0.37231213279201575,0.43021175104372356,0.47004831846828987,0.11867298247010288,0.23106486129868667,0.1209857710014942,2.0700480334273443,0.95140679534124772,0.64550972377375548,0.81318652368280775,1.3066818098581532,0.87179392469787953,0.89445014857072114,0.90887511932418563,0.94807972518670669,0.23250142324593276,0.46633969483955479,0.68161235227725925,0.23940521252421934,0.46125417144012565,0.22496049715457447,0.63222284973959075,0.85708290738952275,0.75127380763025575,0.70202778344786054,0.705519512447355,0.74712513590697138,0.61106570688752426,0.65760819934679837,0.70261845284109814,0.42448906312078571,0.56617889747907779,0.70941553028893811,0.21271783773956116,0.39419010892616269,0.18537843268550294,0.54974252298447268,0.75443469448897194,0.69438957627946551,0.64397122578052601,0.57145921323064885,0.54150990803973553,0.27920981102099734,0.33637964519394825,0.41367725607288119,0.4365785502336022,0.52736059094827792,0.6057034043744276,0.16125777818367948,0.312399611522516,0.15895719462738866,30.386506085474849,68.673774156093558,67.572905610012057,66.058297501183375,44.78193977902361,42.319298852076237,39.101452019450178,5.3528766688167035,15.834790620083629,10.509144528105592,53.433950428995743,32.699166303532508,16.133220581385114,17.373876846237152,23.40360797288578,0.30342236533761024,0.50756454840302467,-0.80502006411552429,45.847555160522461,0.69814629852771759,1.0,-0.19335914775729179,-0.79531988501548767,-0.57370325922966003,0.0,0.0,0.0,3.2602813243865967,-6.8716578483581543,-2.714709997177124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,1.0,0.0,0.0,0.0,0.53703737605650137,0.64660931230838292,0.58810824723948685,0.55063103307401151,0.47827748986162166,0.3702599566835918,0.061115448922452173,0.12681817693777356,0.21755998316794062,0.36359816630763775,0.42120767599656622,0.48010698439473742,0.10549770360798602,0.2157209572363297,0.11641106378518246,1.9102318143851129,0.8836585086083717,0.58463523850271315,0.7225988647201419,1.1785013397078374,0.79352699218923162,0.81414925400631377,0.82727916852125771,0.86296413914857451,0.21162817338125797,0.42447320728754556,0.62041935114415314,0.21791217966813431,0.41984423205138954,0.20476424485856093,0.62413143138658222,0.78912647619970056,0.70143224624517808,0.65278160719934641,0.68193106236151668,0.67789219699068559,0.56978869356362993,0.61560538815654453,0.67081626895391533,0.3831433288446468,0.5164669215099289,0.69076402934049508,0.19153824737284905,0.39250795288479223,0.20503421130062313,0.53777931423071212,0.72361057112065885,0.64358081977537884,0.59848840761685596,0.54776826255571709,0.51529620248689534,0.26107058154771912,0.31983063038582199,0.40665312903150908,0.41499144344374311,0.49988430877889922,0.60624418882230724,0.14408106102114313,0.30389044381908881,0.16432402760744746,26.633085123564481,69.656819377671397,67.595497314465504,66.855872350944111,54.198445391945626,50.174805711326862,45.504040611568882,5.9599042884945916,17.957997185377586,12.133774391301884,52.233393991317435,40.962464697980273,18.184225323684572,18.431013612053761,25.801978954177454,0.3625316433608532,0.6858590766787529,-0.63001261651515961,42.380054473876953,0.76283638924360275,0.99549636244773865,-0.072032437194138765,-0.65354438126087189,-0.75273456424474716,0.0,0.0,0.0,-0.95449149608612061,-7.0302524566650391,-5.2023043632507324,0.0,0.0,0.0,2.7807464599609375,-14.08929443359375,2.3844184875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.375,0.0,0.0,0.0,0.56798319376453799,0.65552709418177468,0.51095437702901636,0.55810359126922293,0.50543512992702688,0.40633313513545,0.1181107087032205,0.027810567547888992,0.13113876391489873,0.41934298918157414,0.38557279653371684,0.43995067578158548,0.13188905775407872,0.21192829353442186,0.12246379451202558,1.8944974291632883,0.93271842411419648,0.7097106183418801,0.88678098772138714,1.3456868623538696,0.8290086857252903,0.85055307386861945,0.86427008583899567,0.90155067783307052,0.22109088987379916,0.44345308118791055,0.64816071838502942,0.22765592654081629,0.43861714198875901,0.2139200491313662,0.61181447905987651,0.82447263231942092,0.74292065704030474,0.72140089460153967,0.77364178826878494,0.71061475281130104,0.49574508175277227,0.59123139026432991,0.66294275486492737,0.39463036445643845,0.44819121398680717,0.65860201814177677,0.19489379655784181,0.41499685708162931,0.24242564079661735,0.54543722524031224,0.74592218998759408,0.60703564136786003,0.63069024894441794,0.60372285091070643,0.54935666055325028,0.12174391105399318,0.24119678225706054,0.33323812355416965,0.45997277358607458,0.4404687504922255,0.5572873101672231,0.15897946874241245,0.31045777101979322,0.18598700275307919,37.143231661765654,97.005624229549056,77.961115342281929,78.597631770092818,78.008620161733006,52.627082679982379,47.320853855319342,26.321012072839306,38.586568881039355,15.5078623348005,54.158580139081202,32.564039121653451,46.407380513740428,23.812849002290854,28.010251683602512,0.28714489564299583,0.72251827269792557,-0.62810017168521881,38.255280494689941,0.7878299867734313,1.0,-0.27991730719804764,-0.56362885236740112,-0.77613306045532227,0.0,0.0,0.0,2.6916568279266357,-11.756016731262207,-0.93564307689666748,0.0,0.0,0.0,2.7807464599609375,-14.08929443359375,2.3844184875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.5,0.0,0.0,0.0,0.6093223090297859,0.71618173461675549,0.68536263489476756,0.64100658502055907,0.54477259956176338,0.42282205053160388,0.094207121924090989,0.080643287909985734,0.14596352833400705,0.44633888149909912,0.49280906859045998,0.51361188769956678,0.1049377629933453,0.21162666555374976,0.11613594896709827,2.0121670557129212,1.0609483249227183,0.8005902151633415,0.95437637042649404,1.4292060733421967,0.89476636872356596,0.91801963893341998,0.93282470914665905,0.97306237646994431,0.23862802563412716,0.47862815178186174,0.69957339036965505,0.24571376203264475,0.4734085850702886,0.23088834028741628,0.66354589172460721,0.93025740149966074,0.79360233083985088,0.74142201899206905,0.74213534132121051,0.75011382376686309,0.52439103398345999,0.57133419754607695,0.6310711172243364,0.46293189554152686,0.59514293807118612,0.73292222070564073,0.20058595026779874,0.37685650040829394,0.17897776336896642,0.60018908918133618,0.82561017372421697,0.73007022124391086,0.67893659165589448,0.59994831070241805,0.5557618413847909,0.17503771103566343,0.22344654765145291,0.31728489118885161,0.4957341150156106,0.57360256526632902,0.63651728894275161,0.14579090835744341,0.29067191054779573,0.15245557588369862,39.053855846218951,78.994726161832659,79.392104006423068,80.0195098156548,52.356847099244476,50.168754590609048,48.05600974068944,6.8447705033128177,19.088752077946122,12.298813105990549,52.570805763202891,29.230999441127839,26.700459390197956,27.529117150210944,32.185220608585261,0.40388808026909828,0.63236089795827866,-0.656192347407341,48.512455463409424,0.70840004831552505,1.0,-0.11322129797190428,-0.67761261761188507,-0.72211495786905289,0.0,0.0,0.0,-2.114870548248291,-12.435382843017578,-3.4786629676818848,0.0,0.0,0.0,2.7807464599609375,-14.08929443359375,2.3844184875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.125,0.0,0.0,0.0,0.54392014659458499,0.61503857365539405,0.65403214744537164,0.60951470776418781,0.52424442178978925,0.39521273556269354,0.10005903095065588,0.075305586832753332,0.14531483770177483,0.38768613353255843,0.43064575224043278,0.45983645459614464,0.10925259026152415,0.22376617874642526,0.12154095052971124,1.9124242074586599,1.0271634954121134,0.76597568409852568,0.8821430832477295,1.3180214700434383,0.85819552789945452,0.88049837929656127,0.8946983487760698,0.93329145576436834,0.22887482051741173,0.45906567840958384,0.67098044651125044,0.23567094746886158,0.45405944544094606,0.22145149712630469,0.60606778141763251,0.88669544355322583,0.75746486891826492,0.70381744960142689,0.72267832933930998,0.74782755434458703,0.55223702623720239,0.59554140638300668,0.66019927017286828,0.45589902286414757,0.57489536547196929,0.72958251670030161,0.19791812619888463,0.39575582417902916,0.20017842286614287,0.55012981275915529,0.76151640818534938,0.69894141486338768,0.64762135424346789,0.58455211126135753,0.54411362775350214,0.22785736752031641,0.27447095385395498,0.36899275613256088,0.45981043397282884,0.53268811881130362,0.61293348220760158,0.1483591222057489,0.30946281193386771,0.16595458835539456,33.362299124765286,71.078573626054677,70.224030729747795,68.834567054439404,43.206049932301113,40.655089536743603,37.068636177632179,5.7574779187020706,18.037511046043697,12.307513379610967,52.465846246227301,27.861334990119424,18.887971410217599,19.633944180798885,25.442967562815483,0.31610907986760139,0.60083266347646713,-0.73400638997554779,46.578100204467773,0.83536061272025108,1.0,-0.17766037955880165,-0.7224702462553978,-0.66792166233062744,0.0,0.0,0.0,1.5518860816955566,-3.1466028690338135,-5.9465517997741699,0.0,0.0,0.0,2.7807464599609375,-14.08929443359375,2.3844184875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.25,0.0,0.0,0.0,0.52752351079902093,0.62409391386668944,0.64304270058022939,0.59077920116216887,0.51222091001179926,0.39179338228550104,0.096592223768119878,0.078144010982451662,0.15376283392966592,0.39118597108389525,0.44773063221282983,0.47036531173886309,0.11756388060132454,0.22713792874193642,0.12116021375041187,1.7923272964791144,1.0117862890297125,0.86217008503196435,1.0367174230774205,1.4552289450413451,0.85819550521101318,0.88049840198500273,0.8946983487760698,0.93329143307592699,0.2288748205174117,0.45906567840958384,0.67098041815069864,0.23567094746886161,0.45405943976883562,0.22145150279841505,0.53927593868220169,0.89060092462758977,0.76176413512492702,0.70463653722206221,0.74213800578407663,0.74993117636783191,0.57036327549644128,0.5910201811720377,0.66323291779757054,0.44731768428345003,0.56861421953565838,0.72215325563775801,0.19627058513942988,0.39905969113584133,0.20416563787819061,0.49756759747478757,0.76709440256034689,0.69214714071422312,0.63167378071226388,0.58239995914452236,0.5609729706804536,0.25206380304119802,0.26072379775053972,0.35401776177091265,0.46079921654036332,0.54410268940924422,0.61680030357843119,0.1529529442201614,0.31236438640789094,0.1670746857457448,31.966235565727953,69.591841226776111,73.266091971912999,73.553163115181349,45.766360429945564,47.688364563329742,44.302852808279169,6.0381334866273626,17.411880018779105,12.960200600446981,53.492893253985663,32.756753335972178,16.253031277493836,20.723539926542095,26.835032899867421,0.26347930170595646,0.58528411388397217,-0.76650805771350861,43.393050670623779,0.77491889894008636,1.0,-0.21657462231814861,-0.73819733411073685,-0.63809632509946823,0.0,0.0,0.0,3.2675397396087646,-3.4713935852050781,-6.3931121826171875,0.0,0.0,0.0,2.7807464599609375,-14.08929443359375,2.3844184875488281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
